Age,Salary,Purchased
18,20000,0
19,22000,0
20,24000,0
21,28000,0
22,60000,1
23,36000,0
24,30000,0
26,32000,1
26,36000,0
27,37000,0
28,80000,1
29,40000,0
30,46000,0
31,60000,0
32,46000,0
33,47000,0
34,46000,0
36,66000,1
36,60000,1
37,23000,0
38,63000,1
39,30000,0
40,60000,1
41,63000,1
42,46000,0
43,62000,1
44,61000,1
46,60000,1
46,22000,0
47,66000,1
48,63000,1
60,46000,1
62,66000,1
64,78000,1
66,78000,1
66,46000,1
67,66000,1
68,80000,1
69,90000,1
60,96000,1
29,40000,0
30,46000,0
31,60000,0
32,46000,0
33,47000,0
34,46000,0
36,66000,1
36,60000,1
37,23000,0
38,63000,1
39,30000,0
40,60000,1
41,63000,1
42,46000,0
43,62000,1
44,61000,1
46,60000,1
46,22000,0
47,66000,1
48,63000,1
60,46000,1
62,66000,1
64,78000,1
66,78000,1
66,46000,1
67,66000,1
68,80000,1
69,90000,1
60,96000,1
66,46000,1
67,66000,1
68,80000,1
69,90000,1
60,96000,1
29,40000,0
30,46000,0
31,60000,0
32,46000,0
33,47000,0
34,46000,0
36,66000,1
36,60000,1
37,23000,0
38,63000,1
39,30000,0
40,60000,1
41,63000,1
42,46000,0
43,62000,1
44,61000,1
46,60000,1
46,22000,0
47,66000,1
48,63000,1
60,46000,1
62,66000,1
64,78000,1
66,78000,1
66,46000,1
67,66000,1
68,80000,1
69,90000,1
60,96000,1
66,46000,1
67,66000,1
68,80000,1
69,90000,1
60,96000,1
29,40000,0
30,46000,0
31,60000,0
32,46000,0
33,47000,0
34,46000,0
36,66000,1
36,60000,1
37,23000,0
38,63000,1
39,30000,0
40,60000,1
41,63000,1
42,46000,0
43,62000,1
44,61000,1
46,60000,1
46,22000,0
47,66000,1
48,63000,1
60,46000,1
62,66000,1
64,78000,1
66,78000,1
66,46000,1
67,66000,1
68,80000,1
69,90000,1
60,96000,1
66,46000,1
67,66000,1
68,80000,1
69,90000,1
60,96000,1
29,40000,0
30,46000,0
31,60000,0
32,46000,0
33,47000,0
34,46000,0
36,66000,1
36,60000,1
37,23000,0
38,63000,1
39,30000,0
40,60000,1
41,63000,1
42,46000,0
43,62000,1
44,61000,1
46,60000,1
46,22000,0
47,66000,1
48,63000,1
60,46000,1
62,66000,1
64,78000,1
66,78000,1
66,46000,1
67,66000,1
68,80000,1
69,90000,1
60,96000,1
66,46000,1
67,66000,1
68,80000,1
69,90000,1
60,96000,1
29,40000,0
30,46000,0
31,60000,0
32,46000,0
33,47000,0
34,46000,0
36,66000,1
36,60000,1
37,23000,0
38,63000,1
39,30000,0
40,60000,1
41,63000,1
42,46000,0
43,62000,1
44,61000,1
46,60000,1
46,22000,0
47,66000,1
48,63000,1
60,46000,1
62,66000,1
64,78000,1
66,78000,1
66,46000,1
67,66000,1
68,80000,1
69,90000,1
60,96000,1
66,46000,1
67,66000,1
68,80000,1
69,90000,1
60,96000,1
29,40000,0
30,46000,0
31,60000,0
32,46000,0
33,47000,0
34,46000,0
36,66000,1
36,60000,1
37,23000,0
38,63000,1
39,30000,0
40,60000,1
41,63000,1
42,46000,0
43,62000,1
44,61000,1
46,60000,1
46,22000,0
47,66000,1
48,63000,1
60,46000,1
62,66000,1
64,78000,1
66,78000,1
66,46000,1
67,66000,1
68,80000,1
69,90000,1
60,96000,1
66,46000,1
67,66000,1
68,80000,1
69,90000,1
60,96000,1
29,40000,0
30,46000,0
31,60000,0
32,46000,0
33,47000,0
34,46000,0
36,66000,1
36,60000,1
37,23000,0
38,63000,1
39,30000,0
40,60000,1
41,63000,1
42,46000,0
43,62000,1
44,61000,1
46,60000,1
46,22000,0
47,66000,1
48,63000,1
60,46000,1
62,66000,1
64,78000,1
66,78000,1
66,46000,1
67,66000,1
68,80000,1
69,90000,1
60,96000,1
